v1;v2;v3;v4;v5;V6;V7
0,224268590662358;0,72864473762872;0,468413792106173;0,3479696393928;0,813263721913812;0,248048101951264;0,0390644788906605
0,361414042318487;0,175585813147033;0,174802793709072;0,120517022035841;0,567774829831427;0,579016479909159;0,568272781373546
0,574343912973387;0,0210067511733559;0,974228770315701;0,695319876877959;0,886511549567879;0,223904123978789;0,969652807802348
0,655110388103505;0,108528065439711;0,183286808365015;0,852174968961181;0,376469280822374;0,0237875788270555;0,752522803468681
0,565737740119358;0,146715059498521;0,1111363967522;0,262145024273571;0,0481765618033458;0,123194711273654;0,666905397767486
0,799266259602543;0,701630769175852;0,370548511385162;0,469570853512603;0,392043092746;0,234764410142768;0,0454558506912974
0,472349890740121;0,780890005514472;0,218002125128643;0,239735342869406;0,0139049946524395;0,91208120930375;0,301679556524854
0,775833892000857;0,227153353457812;0,313345140914163;0,133999371275219;0,470125195471453;0,75432894031721;0,991352304585718
0,618335582998757;0,372659727453328;0,817169459736443;0,395831756465485;0,980526552000795;0,162060987260068;0,821965392791184
0,335669449608189;0,823838733420681;0,338758184369897;0,366463161582941;0,117790307346276;0,761436874414103;0,188973274768102
0,580360360619028;0,375055968661555;0,58396836369422;0,582814093070791;0,993663749162126;0,0203754008821365;0,109523576319129
0,785884511504132;0,292305627043526;0,527271872386727;0,277067714041963;0,645156308155162;0,1500827097531;0,616454387277074
0,418406499105482;0,223666675723506;0,145538793740699;0,876349407136367;0,409240611452766;0,370284783058888;0,0316783435507348
0,775005796386662;0,429902562003797;0,328706384863472;0,466287953590613;0,111610568342516;0,541142196159455;0,112120617052487
0,59755044018942;0,934174413735355;0,178817268297629;0,842511019562538;0,927919880335637;0,153662521534333;0,512580855367947
0,287473355149505;0,651729833934518;0,0377018591841457;0,160962486056058;0,626212202574968;0,129654953715216;0,0756669925414177
0,833085033386734;0,649976899247994;0,991857851374088;0,144229882271408;0,376261626120282;0,394563485874188;0,335372157828379
0,067834357148705;0,770521093901017;0,495093093901449;0,864980092294888;0,832694195206953;0,658564912237146;0,545071986361667
0,816783453180087;0,460651418592919;0,268256949827804;0,462098624555828;0,741970622878808;0,49371936242783;0,0966056969105395
0,260305325375605;0,786745259456318;0,230161503562232;0,240155395174694;0,730379009605823;0,659120870800536;0,416955607436608
0,0762511497954366;0,0993074762748352;0,501381752913864;0,139244130735183;0,353033604758561;0,384344886606509;0,394460964095745
0,783123444342875;0,974540513418891;0,209757969795668;0,951001842106483;0,671884372438252;0,977855914600421;0,885403217015475
0,852530195266487;0,195145384346;0,0308693975298473;0,146185495789872;0,962951891591646;0,594386077296146;0,884808041675502
0,404861223073445;0,14997997295309;0,610917182158164;0,330888029110494;0,580481602727528;0,865862128679122;0,937213929114714
0,60035579808822;0,207034859564009;0,226721236458984;0,40201324833893;0,714445282961777;0,753263948767817;0,0455326781655474
0,552011797481417;0,0214604295042211;0,336036934205;0,859175875193733;0,973205294102296;0,66727454551448;0,0776531140103961
